x,y,z
3.496666667,-8.65,5.096666667
3.68,-8.733333333,5.14
3.436666667,-8.08,5.206666667
3.46,-7.81,5.143333333
3.376666667,-8.456666667,5.596666667
3.466666667,-8.643333333,5.48
3.45,-7.826666667,4.893333333
3.22,-7.65,5.46
3.313333333,-8.163333333,5.536666667
3.246666667,-8.27,5.996666667
3.033333333,-7.823333333,5.726666667
3.08,-7.35,5.573333333
2.943333333,-7.62,6.103333333
3.16,-7.503333333,5.546666667
3.016666667,-7.203333333,5.956666667
3.246666667,-6.8,5.216666667
3.176666667,-6.906666667,5.676666667
3.35,-7.346666667,5.25
3.743333333,-8.106666667,6.056666667
3.776666667,-8.31,5.85
3.453333333,-7.713333333,5.803333333
2.76,-7.766666667,6.16
2.673333333,-8.08,6.653333333
2.846666667,-7.72,6.25
2.963333333,-7.343333333,5.74
3.2,-7.723333333,5.79
3.543333333,-8.493333333,6.396666667
3.566666667,-8.356666667,6.44
3.51,-7.303333333,5.596666667
3.346666667,-7.53,6.07
3.563333333,-8.206666667,6.143333333
3.85,-7.766666667,5.93
3.746666667,-7.256666667,5.71
3.603333333,-7.43,5.773333333
3.666666667,-8.21,7.013333333
3.76,-7.856666667,7.133333333
4.2,-7.07,6.406666667
3.943333333,-7.296666667,6.126666667
3.913333333,-7.98,5.92
3.653333333,-7.603333333,5.733333333
3.686666667,-7.516666667,5.536666667
3.64,-7.966666667,5.373333333
3.696666667,-8.116666667,5.563333333
3.406666667,-7.783333333,5.57
3.593333333,-7.52,5.426666667
3.596666667,-8.28,5.97
3.71,-8.79,5.99
3.58,-8.053333333,5.543333333
3.276666667,-7.536666667,5.646666667
3.423333333,-7.303333333,5.223333333
3.373333333,-8.016666667,5.866666667
3.616666667,-8.023333333,5.7
3.563333333,-7.583333333,5.613333333
3.57,-7.71,5.65
3.55,-8.14,5.603333333
3.85,-8.186666667,5.533333333
3.54,-7.703333333,5.663333333
3.493333333,-7.73,5.416666667
3.433333333,-8.36,6.13
3.96,-8.426666667,6.163333333
4.256666667,-7.846666667,5.77
3.98,-7.293333333,5.623333333
3.97,-7.89,5.14
3.746666667,-8.406666667,5.836666667
3.816666667,-8.676666667,5.616666667
3.513333333,-7.546666667,5.566666667
3.31,-7.566666667,6.133333333
3.416666667,-8.096666667,6.183333333
3.97,-8.143333333,5.82
4.176666667,-7.48,5.253333333
4.3,-7.073333333,4.836666667
4.206666667,-7.853333333,5.616666667
4.436666667,-8.33,5.526666667
4.41,-7.61,5.33
4.196666667,-7.223333333,5.256666667
4.126666667,-7.546666667,5.23
4.123333333,-7.996666667,5.68
4.04,-7.89,5.44
3.93,-7.3,4.986666667
4.016666667,-7.8,5.423333333
4.233333333,-8.21,5.71
4.19,-7.91,5.72
3.95,-7.44,5.72
4.016666667,-7.65,5.41
4.26,-8.273333333,5.706666667
4.29,-8.23,5.54
4.196666667,-7.236666667,4.856666667
4.06,-6.92,5.346666667
4.473333333,-7.42,5.013333333
4.616666667,-8.446666667,6.016666667
4.823333333,-8.773333333,5.76
4.54,-8.056666667,5.296666667
4.08,-7.236666667,5.576666667
3.81,-6.953333333,5.056666667
3.746666667,-7.53,5.993333333
4.163333333,-8.346666667,5.62
4.343333333,-8.516666667,5.946666667
4.223333333,-8.016666667,5.92
4.09,-7.24,5.276666667
3.97,-7.383333333,5.67
4.336666667,-8.176666667,5.57
4.543333333,-8.65,6.056666667
4.45,-8.346666667,6.133333333
3.93,-7.41,5.486666667
3.57,-7.433333333,5.863333333
3.876666667,-7.916666667,5.643333333
4.406666667,-8.336666667,5.983333333
4.466666667,-7.873333333,6.0
4.17,-7.046666667,5.22
3.983333333,-7.193333333,5.75
4.373333333,-8.03,5.29
4.773333333,-8.646666667,5.69
4.693333333,-8.383333333,5.413333333
4.54,-7.433333333,4.703333333
4.293333333,-7.343333333,4.953333333
4.833333333,-7.986666667,4.553333333
5.253333333,-8.823333333,5.326666667
5.223333333,-8.573333333,5.326666667
4.87,-7.476666667,4.86
4.233333333,-6.866666667,5.083333333
4.306666667,-6.69,4.206666667
4.356666667,-7.636666667,5.08
4.5,-7.626666667,4.523333333
4.123333333,-7.69,5.703333333
3.906666667,-7.466666667,5.763333333
4.076666667,-7.983333333,6.616666667
4.52,-8.51,6.533333333
4.646666667,-7.833333333,5.693333333
4.246666667,-7.19,5.72
4.303333333,-7.126666667,5.016666667
4.283333333,-8.036666667,5.863333333
4.496666667,-8.853333333,5.423333333
4.196666667,-8.66,5.44
3.9,-8.036666667,5.41
3.896666667,-7.553333333,4.656666667
4.076666667,-7.893333333,5.263333333
4.466666667,-8.66,4.946666667
4.61,-8.516666667,5.17
4.42,-7.983333333,5.126666667
4.613333333,-7.34,4.366666667
4.743333333,-7.863333333,5.023333333
5.28,-8.523333333,4.62
4.996666667,-8.48,5.043333333
4.373333333,-7.933333333,4.863333333
4.03,-7.48,4.586666667
4.206666667,-8.186666667,5.013333333
4.79,-8.44,4.84
4.836666667,-7.996666667,4.446666667
4.593333333,-7.386666667,4.596666667
4.413333333,-7.873333333,4.613333333
4.476666667,-8.543333333,5.366666667
4.396666667,-8.583333333,5.4
4.196666667,-7.57,4.85
4.003333333,-7.583333333,5.0
4.213333333,-8.236666667,4.756666667
4.746666667,-8.806666667,5.16
4.606666667,-8.556666667,5.19
4.523333333,-7.543333333,4.533333333
3.946666667,-7.506666667,5.113333333
4.223333333,-7.93,5.053333333
4.33,-8.65,5.503333333
4.373333333,-8.55,5.426666667
4.373333333,-7.573333333,4.713333333
4.346666667,-7.26,5.573333333
4.74,-7.73,5.186666667
5.07,-8.303333333,5.72
5.323333333,-7.876666667,5.053333333
5.38,-7.093333333,4.673333333
4.996666667,-7.256666667,5.243333333
4.85,-8.036666667,5.366666667
4.506666667,-8.123333333,5.426666667
4.38,-7.71,5.086666667
4.223333333,-7.63,4.8
4.45,-8.196666667,5.39
4.633333333,-8.53,5.293333333
4.586666667,-7.743333333,4.95
4.276666667,-7.453333333,4.843333333
4.393333333,-7.626666667,4.8
4.573333333,-8.143333333,5.283333333
4.703333333,-7.893333333,5.3
4.573333333,-7.39,4.716666667
4.51,-7.593333333,4.986666667
4.673333333,-8.246666667,4.833333333
4.683333333,-8.106666667,5.146666667
4.55,-7.74,5.026666667
4.43,-7.45,4.726666667
4.466666667,-8.193333333,5.18
4.526666667,-8.536666667,5.193333333
4.603333333,-7.943333333,4.933333333
4.243333333,-7.246666667,5.026666667
4.293333333,-7.363333333,4.89
4.6,-8.05,6.07
4.783333333,-8.496666667,6.393333333
4.483333333,-7.61,6.196666667
3.706666667,-7.063333333,6.16
3.313333333,-6.483333333,6.18
3.223333333,-6.496666667,6.333333333
3.45,-6.37,6.323333333
3.656666667,-6.796666667,5.883333333
3.603333333,-7.083333333,5.826666667
3.213333333,-7.23,5.98
3.086666667,-7.156666667,6.406666667
3.216666667,-7.16,7.08
3.28,-7.136666667,6.996666667
2.366666667,-7.023333333,7.986666667
2.616666667,-6.606666667,7.476666667
1.99,-6.463333333,8.086666667
2.79,-6.61,7.03
2.433333333,-7.14,7.85
3.21,-7.5,7.13
3.266666667,-6.83,6.566666667
3.283333333,-6.736666667,6.66
3.123333333,-6.98,7.166666667
3.196666667,-7.0,7.883333333
3.016666667,-6.76,7.623333333
3.59,-6.37,6.553333333
3.9,-6.96,6.416666667
3.883333333,-7.05,6.326666667
3.306666667,-6.816666667,6.34
2.906666667,-6.956666667,6.46
2.966666667,-7.256666667,6.603333333
3.273333333,-7.403333333,6.576666667
3.296666667,-7.15,6.596666667
3.443333333,-6.793333333,6.466666667
3.57,-6.856666667,7.303333333
3.976666667,-6.7,7.053333333
3.98,-6.903333333,6.88
3.806666667,-6.64,6.7
3.816666667,-6.656666667,6.14
3.953333333,-6.87,6.29
4.126666667,-7.386666667,5.936666667
4.09,-7.283333333,5.726666667
4.143333333,-7.013333333,5.656666667
4.126666667,-7.233333333,5.213333333
4.09,-7.89,5.72
4.04,-8.163333333,5.29
4.006666667,-7.413333333,4.976666667
3.85,-7.01,5.316666667
4.066666667,-7.096666667,5.26
4.43,-7.273333333,6.346666667
4.503333333,-6.993333333,6.356666667
4.47,-6.336666667,6.256666667
3.93,-6.726666667,6.456666667
3.953333333,-7.463333333,6.173333333
3.886666667,-8.06,6.47
3.84,-7.893333333,6.113333333
3.633333333,-7.163333333,5.543333333
3.526666667,-7.176666667,5.936666667
3.906666667,-7.603333333,5.726666667
4.556666667,-8.006666667,6.02
4.763333333,-7.703333333,5.626666667
4.713333333,-7.193333333,5.236666667
