,x,y,z,,,,,,,,,,,,,,,,,,119.0466667,278.59,235.61
51,1.613333333,-7.63,5.433333333,,,0.246666666,0.13,0.966666667,0.246666666,0.13,-0.966666667,,,,,,0.246666666,0.13,-0.966666667,,0.246666666,0.13,0.966666667
52,1.533333333,-8.04,6,,,0.08,0.41,0.566666667,-0.08,-0.41,0.566666667,,,,,,-0.08,-0.41,0.566666667,,0.08,0.41,0.566666667
53,1.32,-7.896666667,5.926666667,,,0.213333333,0.143333333,0.073333333,-0.213333333,0.143333333,-0.073333333,,,,,,-0.213333333,0.143333333,-0.073333333,,0.213333333,0.143333333,0.073333333
54,1.476666667,-7.543333333,5.67,,,0.156666667,0.353333334,0.256666667,0.156666667,0.353333334,-0.256666667,,,,,,0.156666667,0.353333334,-0.256666667,,0.156666667,0.353333334,0.256666667
55,1.283333333,-8.183333333,6.5,,,0.193333334,0.64,0.83,-0.193333334,-0.64,0.83,,,,,,-0.193333334,-0.64,0.83,,0.193333334,0.64,0.83
56,1.91,-8.673333333,6.516666667,,,0.626666667,0.49,0.016666667,0.626666667,-0.49,0.016666667,,,,,,0.626666667,-0.49,0.016666667,,0.626666667,0.49,0.016666667
57,1.716666667,-8.04,6.37,,,0.193333333,0.633333333,0.146666667,-0.193333333,0.633333333,-0.146666667,,,,,,-0.193333333,0.633333333,-0.146666667,,0.193333333,0.633333333,0.146666667
58,1.483333333,-7.606666667,6.216666667,,,0.233333334,0.433333333,0.153333333,-0.233333334,0.433333333,-0.153333333,,,,,,-0.233333334,0.433333333,-0.153333333,,0.233333334,0.433333333,0.153333333
59,1.436666667,-7.616666667,5.77,,,0.046666666,0.01,0.446666667,-0.046666666,-0.01,-0.446666667,,,,,,-0.046666666,-0.01,-0.446666667,,0.046666666,0.01,0.446666667
60,1.393333333,-8.603333333,6.66,,,0.043333334,0.986666666,0.89,-0.043333334,-0.986666666,0.89,,,,,,-0.043333334,-0.986666666,0.89,,0.043333334,0.986666666,0.89
